incident_id,sensor_id,work_status,location_info_x,location_info_y,collect_time,air_temperature(°C),humidity(volume %),photosynthetic_effect(μmol/m²/s),atmo_pressure(Pa),light_sensor(Lux),min_wind_dir(°),max_wind_dir(°),avg_wind_dir(°),min_wind_speed(m/s),max_wind_speed(m/s),avg_wind_speed(m/s),rainfall(mm),rainfall_time(min),rainfall_extent(mm),max_rainfall_extent(mm),heat_temparature(°C),toppling_condition,co2_concentration(ppm)
1393,311,1,87.30584,44.2181,202409090949,12.19,70.33,466,96440,41820,83.2,83.2,83.2,0,0.4,0.1,444.6,22040,0,0,15.02,0,368
1394,311,1,87.30584,44.2181,202409091049,15.99,65.9,806,96430,58620,45,77.9,65.4,1,1.5,1.2,444.6,22040,0,0,17.3,0,376
1395,311,1,87.30584,44.2181,202409091149,18.58,47.39,1094,96420,72000,71.6,93.2,80.8,2.7,3.6,3,444.6,22040,0,0,19.36,0,366
1396,311,1,87.30584,44.2181,202409091249,19.87,38.31,940,96380,81590,27.8,50.8,37.2,1,1.6,1.3,444.6,22040,0,0,20.25,0,359
1397,311,1,87.30584,44.2181,202409091349,21.06,33.62,1393,96310,85455,76.8,113.8,99.3,1.8,2.6,2.3,444.6,22040,0,0,21.46,0,351
1398,311,1,87.30584,44.2181,202409091449,22.05,30.45,1381,96250,86805,33.8,52.3,39.4,2.2,3,2.5,444.6,22040,0,0,22.36,0,349
1399,311,1,87.30584,44.2181,202409091549,22.65,27.08,1251,96190,83105,20.8,34,27.2,2.8,3.7,3.3,444.6,22040,0,0,23.21,0,351
1400,311,1,87.30584,44.2181,202409091649,23.3,24.71,1023,96130,74540,47.7,59.2,53.2,3,4.4,3.6,444.6,22040,0,0,23.9,0,352
1401,311,1,87.30584,44.2181,202409091749,23.62,22.86,735,96090,61820,67.7,85.4,75.8,1.4,1.8,1.7,444.6,22040,0,0,25.99,0,354
1402,311,1,87.30584,44.2181,202409091849,23.33,23.71,418,96110,44145,45,71,54,0.8,1.1,1,444.6,22040,0,0,25.58,0,353
1403,311,1,87.30584,44.2181,202409091949,22.82,24.29,138,96110,18680,6.3,6.3,6.3,0.6,0.7,0.6,444.6,22040,0,0,23.82,0,353
1404,311,1,87.30584,44.2181,202409092049,18.93,38.58,3,96120,295,198.9,199.8,199.35,0.7,0.8,0.7,444.6,22040,0,0,18.47,0,361
1405,311,1,87.30584,44.2181,202409092149,15.12,50.29,0,96170,0,218.6,231.3,230.1,0.6,0.8,0.7,444.6,22040,0,0,14.72,0,405
1406,311,1,87.30584,44.2181,202409092249,14.94,54.31,0,96240,0,198.4,198.4,198.4,0.6,0.8,0.6,444.6,22040,0,0,14.34,0,412
1407,311,1,87.30584,44.2181,202409092349,13.35,60.42,0,96260,0,207.8,207.8,207.8,0.7,0.8,0.7,444.6,22040,0,0,12.96,0,392
1408,311,1,87.30584,44.2181,202409100049,11.83,61.62,0,96280,0,218.6,218.6,218.6,0,0.4,0.2,444.6,22040,0,0,11.49,0,387
1409,311,1,87.30584,44.2181,202409100149,11.9,66.24,0,96310,0,199.3,218.4,208.1,1.1,1.4,1.2,444.6,22040,0,0,11.68,0,395
